"Model","CandidateID","Architecture","Learning_rate","L1","L2","Inner_folds_ok","Mean_RMSE","Mean_Correlation","Mean_MAE","Median_EarlyStop_epoch","Max_Last_epoch","N_epoch_ceiling","Status","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0",33,"8-4",0.001,0,0,4,2.20741065530723,0.382762554054476,1.77278903936226,6.5,34,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",34,"16-8",0.001,0,0,4,2.11948025380012,0.423166067577112,1.69817824866391,5.5,33,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",35,"32-16",0.001,0,0,4,2.11961466909445,0.40949730202807,1.69698811715438,2.5,45,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",36,"64-32",0.001,0,0,4,2.12541326700928,0.400396455854387,1.69713557490674,2.5,28,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1",1,"64-32",0.000125,1e-05,0,4,2.05954606187023,0.442474679292488,1.64432962744559,25.5,77,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1",2,"64-32",0.000125,1e-04,0,4,2.05025686595896,0.446725357913178,1.63563399029699,24.5,55,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1",3,"64-32",0.000125,0.001,0,4,2.03660413938961,0.461500948001047,1.62674623639568,32,220,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1",4,"64-32",0.000125,0.01,0,4,1.92397120306557,0.525040976747405,1.54062716399686,487,654,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1",5,"64-32",0.000125,0.03,0,4,2.27839826461236,0.371077019047875,1.83976603131714,110,144,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1",6,"64-32",0.000125,0.1,0,4,2.273423683279,NA,1.83254033863707,1051,2000,2,"ok","C1",1,1,"R01_F01","C1_R01_F01"
