"Scenario","Model","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2"
"C1","ANN_0",0.586272755363431,1.59739335579362,1.28138627100078,-0.0275670135409902,0.851578046153672,0.320813022719621,0.483405249867945,2.02700209358191,1.62301853917953,-0.0275683135409901,0.82870320556789,0.210783832248418
"C2","ANN_0",0.742698914869966,0.658890967998599,0.526219805718815,-0.0319933015197325,1.03109363938312,0.515328150678557,0.641920558194016,0.839159738283026,0.663932906036264,-0.0319912015197323,1.00361074514745,0.379985329719888
"C3","ANN_0",0.796536511668372,0.443112530014553,0.352676953274221,0.00279491814078133,0.992474686174208,0.587534493504299,0.588695913318688,0.771153702383383,0.625881512226368,0.00279591814078167,0.9927425155539,0.30515158377585
"C4","ANN_0",0.830906216721929,0.350524411419982,0.279770531863458,-0.0204263092025251,0.988765669032109,0.635924548975857,0.580212133715865,0.703919604568635,0.572331449646488,-0.0204268092025251,1.00079696805361,0.307408375723102
"C5","ANN_0",0.856989895304534,0.263526975101407,0.210082762207088,0.011218796627993,0.895117932560478,0.677888932195061,0.458347385194656,0.759747229279696,0.622842101721548,0.0112178966279933,0.864471222117199,0.182917524836242
"C6","ANN_0",0.895586978916681,0.202324342239652,0.162255488578904,-0.029595223802578,0.944127505201127,0.749434645660017,0.471783119511347,0.656477371336779,0.533960182633002,-0.0295967238025778,0.901396196134065,0.194471419051491
"C1","ANN_L1",0.686071662811021,1.41938816485773,1.14538584718458,-0.0401790703469515,1.09094754407441,0.460380463888925,0.573652904857176,1.88361353356183,1.51134485337409,-0.0401803703469515,1.07871252562733,0.317932282508482
"C2","ANN_L1",0.743156244448838,0.656101041960843,0.525571891458193,-0.0276245285608847,1.05452725707145,0.519653934808915,0.643162807042645,0.835254799628927,0.660330258794183,-0.0276224285608845,1.02728027784317,0.385640369280942
"C3","ANN_L1",0.795639088889252,0.440450034737717,0.350753102083232,0.00488206146565633,1.03148618772661,0.592863593993813,0.58781035834032,0.770160815507254,0.624503551776291,0.00488306146565667,1.0334490544026,0.307796069982748
"C4","ANN_L1",0.830993931120617,0.346746742265355,0.276857074490864,-0.0224148460700019,1.00810343382371,0.643819190280206,0.58046537583346,0.701787716678879,0.570865526395548,-0.0224153460700019,1.02116042618169,0.31173346203641
"C5","ANN_L1",0.851195338456013,0.265650118482543,0.212803207883052,0.00731915594308972,1.02384480515097,0.672849000999071,0.454714350685774,0.759356498145087,0.620909914512777,0.00731825594309008,0.981674821433477,0.183781862121762
"C6","ANN_L1",0.899247144272378,0.196061615046581,0.157162017131668,-0.0292104339180998,1.00331515626939,0.765548526316375,0.471589032315165,0.654119715564639,0.532629733297372,-0.0292119339180996,0.949902544359739,0.20087922835603
"C1","ANN_L1_L2",0.68682739494632,1.41774921989543,1.14413600205771,-0.042416372229826,1.08711301081589,0.461707778574786,0.574829394346706,1.88156078054434,1.50902202307226,-0.042417672229826,1.07582495666061,0.319406256826591
"C2","ANN_L1_L2",0.74313122269714,0.655984307528221,0.525521454422719,-0.0279339495227306,1.05714023682636,0.519835109579141,0.643118282170401,0.835126563670468,0.660291759985363,-0.0279318495227304,1.02975358199781,0.385844919893719
"C3","ANN_L1_L2",0.795996674677844,0.439785218885036,0.35032840323674,0.00562211122038153,1.03299104016773,0.594208908548161,0.587885406528379,0.769673095420289,0.624306334549226,0.00562311122038188,1.03419069198274,0.308741620985731
"C4","ANN_L1_L2",0.829783332297387,0.347381832350283,0.277237788979197,-0.0179737737979052,1.02486403911779,0.642487088269481,0.579668678998639,0.702466208282202,0.571284298870432,-0.0179742737979051,1.03785253773038,0.310358601877667
"C5","ANN_L1_L2",0.851744785698616,0.267070088640504,0.213693310355263,0.00765265679509265,1.02108897830952,0.670026156001006,0.45407050997183,0.760222930890194,0.621704177845374,0.00765175679509302,0.977191037049126,0.181885901195864
"C6","ANN_L1_L2",0.900206471707958,0.194426266193742,0.155716465317835,-0.0300372913470315,1.00993639316156,0.769763366827383,0.472464304992865,0.653314527694934,0.532032677234593,-0.0300387913470313,0.956871496372111,0.202861322544721
"C1","ANN_L2",0.586854000615403,1.59716165703081,1.28061317400008,-0.0303207005223863,0.849528214925908,0.321010972454685,0.484611646454959,2.02552173358165,1.62197611508233,-0.0303220005223862,0.827594462903472,0.212022463542697
"C2","ANN_L2",0.743067557273352,0.658168809745889,0.525659457402018,-0.0339707950954087,1.03285698801257,0.516277074765229,0.642176425617002,0.838626556923155,0.663298753420562,-0.0339686950954084,1.00527800753503,0.38072351590859
"C3","ANN_L2",0.796696395213517,0.443069716363327,0.352661782624758,0.00270302414898206,0.992338250408917,0.587631087214588,0.588915080983539,0.771143230507274,0.625784067540212,0.0027040241489824,0.992957002465638,0.305163478365239
"C4","ANN_L2",0.830582228574087,0.349883284316309,0.279148694927983,-0.0207841043374432,0.991790298804642,0.637333114668342,0.580075777695916,0.703554485138158,0.572153331844477,-0.0207846043374431,1.00409181285361,0.308155950854411
"C5","ANN_L2",0.857416744020154,0.262930357216784,0.209618710272643,0.0113303692673093,0.893358690033059,0.679428859270484,0.458528617169103,0.759659613114917,0.62277150998425,0.0113294692673097,0.863095232561502,0.183120400705573
"C6","ANN_L2",0.895854677103855,0.202610784067712,0.162371301031681,-0.0286825462036935,0.943888304510979,0.748728683615779,0.471476882935357,0.656876494450798,0.534235736529122,-0.0286840462036934,0.900656757538476,0.193479719116853
"C1","GBLUP_ADE",0.732418580140849,1.32621856357781,1.07772992801022,-0.00346040987458914,1.00986802670326,0.531175961089,0.61028630398683,1.81785051275696,1.45630193656187,-0.0034617098745891,0.993296064273739,0.364970459435131
"C2","GBLUP_ADE",0.770374647470542,0.609609072657276,0.488620727119919,0.0100294315784391,1.01510330558632,0.586609847453623,0.664330003476748,0.803122149699702,0.631804229755826,0.0100315315784394,0.984982640451469,0.433946002104894
"C3","GBLUP_ADE",0.812610184395801,0.407021904082422,0.323416709466256,0.00197700393374611,1.01477718945922,0.654257514782181,0.59865363176134,0.748390882238168,0.610125985678738,0.00197800393374645,1.00505168441651,0.347421507224183
"C4","GBLUP_ADE",0.85936426750185,0.301998754629344,0.240179585472296,0.00367152306516327,0.99359544223588,0.732362014200182,0.597792914666377,0.682823717264687,0.557339235291891,0.00367102306516334,1.00235757469576,0.349004951730674
"C5","GBLUP_ADE",0.86808729474436,0.234553871458767,0.19050299534687,0.00275739137848194,1.0213145828007,0.747721385079653,0.464977227280977,0.748237200326878,0.613624116897527,0.0027564913784823,0.987479449658865,0.208484641249809
"C6","GBLUP_ADE",0.914119450284615,0.168360909282393,0.135878407897782,-0.00083568778704616,1.06261381750144,0.829227948468967,0.483372112855379,0.643716413897081,0.526121462151082,-0.000837187787045983,1.01327346145378,0.226841021098157
