"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1_L2","64-32",5e-04,1e-05,0.001,0.830351615009769,0.644882624496034,0.664966480149667,"C2",5,2,"R05_F02","C2_R05_F02"
"ANN_0","64-32",0.000125,0,0,0.838501417506349,0.64256527109198,0.655371792721391,"C2",5,3,"R05_F03","C2_R05_F03"
"ANN_L1","64-32",0.000125,0.001,0,0.838294113163723,0.632648426586896,0.656876328783718,"C2",5,3,"R05_F03","C2_R05_F03"
"ANN_L2","64-32",0.000125,0,0.001,0.839732558291743,0.631585580097129,0.657123655385579,"C2",5,3,"R05_F03","C2_R05_F03"
"ANN_L1_L2","64-32",0.000125,0.001,1e-04,0.838239958580613,0.632717361456604,0.656897525053513,"C2",5,3,"R05_F03","C2_R05_F03"
"ANN_0","64-32",0.000125,0,0,0.827617766161265,0.64310219494386,0.645887076423379,"C2",5,4,"R05_F04","C2_R05_F04"
"ANN_L1","64-32",0.000125,0.001,0,0.823679521057389,0.647966978293828,0.643159998831667,"C2",5,4,"R05_F04","C2_R05_F04"
"ANN_L2","64-32",0.000125,0,1e-04,0.82402636455743,0.649589039856635,0.646240830624969,"C2",5,4,"R05_F04","C2_R05_F04"
"ANN_L1_L2","64-32",0.000125,0.001,0.001,0.823609728445095,0.648007757178324,0.643103063914073,"C2",5,4,"R05_F04","C2_R05_F04"
"ANN_0","64-32",0.000125,0,0,0.816446205641709,0.66998340093148,0.648797320370396,"C2",5,5,"R05_F05","C2_R05_F05"
"ANN_L1","64-32",0.000125,0.001,0,0.83537676509029,0.65074203292406,0.660617188005198,"C2",5,5,"R05_F05","C2_R05_F05"
"ANN_L2","64-32",0.000125,0,1e-04,0.837052524565898,0.652674390469523,0.661933379810212,"C2",5,5,"R05_F05","C2_R05_F05"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.83444250633333,0.651511822006079,0.659845904545319,"C2",5,5,"R05_F05","C2_R05_F05"
"ANN_0","64-32",0.000125,0,0,0.750253485858163,0.601216399078534,0.604396198912171,"C3",1,1,"R01_F01","C3_R01_F01"
"ANN_L1","64-32",0.000125,0.001,0,0.753133796851515,0.604131723331648,0.607605441980865,"C3",1,1,"R01_F01","C3_R01_F01"
"ANN_L2","64-32",0.000125,0,0.01,0.753225190017184,0.604888636641552,0.607533683332607,"C3",1,1,"R01_F01","C3_R01_F01"
"ANN_L1_L2","64-32",0.000125,1e-04,0.01,0.753087433875423,0.605056043330121,0.607291445671711,"C3",1,1,"R01_F01","C3_R01_F01"
"ANN_0","64-32",0.000125,0,0,0.76592881085224,0.586835272268393,0.627370609136256,"C3",1,2,"R01_F02","C3_R01_F02"
"ANN_L1","64-32",0.000125,0.001,0,0.765250559854621,0.58277319644562,0.625181606986037,"C3",1,2,"R01_F02","C3_R01_F02"
"ANN_L2","64-32",0.000125,0,1e-05,0.768298996223505,0.58097596400575,0.627581456384373,"C3",1,2,"R01_F02","C3_R01_F02"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.764709013705255,0.582412865550585,0.624944154031811,"C3",1,2,"R01_F02","C3_R01_F02"
"ANN_0","64-32",0.000125,0,0,0.759043463847509,0.594506935150723,0.61314838625856,"C3",1,3,"R01_F03","C3_R01_F03"
"ANN_L1","64-32",0.000125,0.001,0,0.771576243450364,0.591013190267499,0.62286219229601,"C3",1,3,"R01_F03","C3_R01_F03"
"ANN_L2","64-32",0.000125,0,1e-04,0.772816275136583,0.591581658730256,0.623234020910043,"C3",1,3,"R01_F03","C3_R01_F03"
"ANN_L1_L2","64-32",0.000125,0.001,0.001,0.771916458846675,0.590860806991857,0.623137793835084,"C3",1,3,"R01_F03","C3_R01_F03"
"ANN_0","64-32",0.00025,0,0,0.751923548679313,0.570617839950733,0.608125068511008,"C3",1,4,"R01_F04","C3_R01_F04"
"ANN_L1","64-32",0.00025,1e-04,0,0.743411267461979,0.57995294482214,0.601941246863628,"C3",1,4,"R01_F04","C3_R01_F04"
"ANN_L2","64-32",0.00025,0,0.01,0.743475578364249,0.57988752205272,0.60197011660362,"C3",1,4,"R01_F04","C3_R01_F04"
"ANN_L1_L2","64-32",0.00025,1e-04,1e-04,0.74333300709548,0.580053474225334,0.601887376121485,"C3",1,4,"R01_F04","C3_R01_F04"
"ANN_0","32-16",5e-04,0,0,0.753938075450322,0.590108116526136,0.618121719224416,"C3",1,5,"R01_F05","C3_R01_F05"
"ANN_L1","32-16",5e-04,0.001,0,0.75509454877351,0.586747293982939,0.616412191118668,"C3",1,5,"R01_F05","C3_R01_F05"
"ANN_L2","32-16",5e-04,0,1e-05,0.75654953623375,0.586274085126851,0.617541769750827,"C3",1,5,"R01_F05","C3_R01_F05"
"ANN_L1_L2","32-16",5e-04,0.001,0.001,0.754851258156008,0.587008910858731,0.616210673821251,"C3",1,5,"R01_F05","C3_R01_F05"
"ANN_0","32",0.000125,0,0,0.748557407947825,0.60967117455332,0.610851158549378,"C3",2,1,"R02_F01","C3_R02_F01"
"ANN_L1","32",0.000125,0.01,0,0.754014312113559,0.597728043607173,0.611799748037934,"C3",2,1,"R02_F01","C3_R02_F01"
"ANN_L2","32",0.000125,0,0.01,0.757750944837133,0.596844424438467,0.61822372941223,"C3",2,1,"R02_F01","C3_R02_F01"
"ANN_L1_L2","32",0.000125,0.01,1e-05,0.754014806432795,0.597727600377347,0.611801194817417,"C3",2,1,"R02_F01","C3_R02_F01"
"ANN_0","32-16",0.000125,0,0,0.747556224462603,0.615704222531578,0.607895706468794,"C3",2,2,"R02_F02","C3_R02_F02"
"ANN_L1","32-16",0.000125,0.001,0,0.765359962843029,0.591935246709121,0.61766580556465,"C3",2,2,"R02_F02","C3_R02_F02"
"ANN_L2","32-16",0.000125,0,1e-05,0.769262171039924,0.589663720570257,0.622391458458785,"C3",2,2,"R02_F02","C3_R02_F02"
"ANN_L1_L2","32-16",0.000125,0.001,0.01,0.764426135082706,0.592655441061139,0.616877605150181,"C3",2,2,"R02_F02","C3_R02_F02"
"ANN_0","16",0.000125,0,0,0.776401444553764,0.582087326546159,0.632221515714687,"C3",2,3,"R02_F03","C3_R02_F03"
"ANN_L1","16",0.000125,0.01,0,0.776690942976673,0.557669474885923,0.633704482729251,"C3",2,3,"R02_F03","C3_R02_F03"
"ANN_L2","16",0.000125,0,0.01,0.779151995321507,0.558406422582849,0.636890373985129,"C3",2,3,"R02_F03","C3_R02_F03"
"ANN_L1_L2","16",0.000125,0.01,0.01,0.776435187879262,0.558254207991855,0.633599430324394,"C3",2,3,"R02_F03","C3_R02_F03"
"ANN_0","8",0.000125,0,0,0.757385323450757,0.590250488362447,0.621092869655931,"C3",2,4,"R02_F04","C3_R02_F04"
"ANN_L1","8",0.000125,0.001,0,0.776418511353517,0.566846120222463,0.635157577032579,"C3",2,4,"R02_F04","C3_R02_F04"
"ANN_L2","8",0.000125,0,1e-05,0.776220236324574,0.56603269132533,0.634578733356504,"C3",2,4,"R02_F04","C3_R02_F04"
"ANN_L1_L2","8",0.000125,1e-05,0.001,0.776065621302421,0.566564998405399,0.634602193939594,"C3",2,4,"R02_F04","C3_R02_F04"
"ANN_0","64-32",0.00025,0,0,0.74970079170087,0.591092004284156,0.600855562597699,"C3",2,5,"R02_F05","C3_R02_F05"
"ANN_L1","64-32",0.00025,1e-04,0,0.746738538027623,0.589405165834598,0.5995263689466,"C3",2,5,"R02_F05","C3_R02_F05"
"ANN_L2","64-32",0.00025,0,0.01,0.746542055542468,0.589611074226309,0.599559245085252,"C3",2,5,"R02_F05","C3_R02_F05"
"ANN_L1_L2","64-32",0.00025,0.001,0.001,0.745543004186145,0.589692676748221,0.599207592405975,"C3",2,5,"R02_F05","C3_R02_F05"
"ANN_0","64-32",5e-04,0,0,0.751828880167233,0.614378292303445,0.615221199421192,"C3",3,1,"R03_F01","C3_R03_F01"
"ANN_L1","64-32",5e-04,1e-04,0,0.751821408829628,0.609879535581693,0.612971537589139,"C3",3,1,"R03_F01","C3_R03_F01"
"ANN_L2","64-32",5e-04,0,0.001,0.752306086089592,0.609585471857386,0.613523350649829,"C3",3,1,"R03_F01","C3_R03_F01"
"ANN_L1_L2","64-32",5e-04,1e-04,1e-05,0.751982218724386,0.609675562738833,0.613223160472282,"C3",3,1,"R03_F01","C3_R03_F01"
"ANN_0","32",0.000125,0,0,0.766116464757064,0.583344991534378,0.621990454613745,"C3",3,2,"R03_F02","C3_R03_F02"
"ANN_L1","32",0.000125,0.01,0,0.757766871066156,0.576635426131189,0.615004889205408,"C3",3,2,"R03_F02","C3_R03_F02"
"ANN_L2","32",0.000125,0,0.01,0.764895379608879,0.585509056193278,0.628779201655062,"C3",3,2,"R03_F02","C3_R03_F02"
"ANN_L1_L2","32",0.000125,0.01,1e-05,0.757913621861925,0.576398727691525,0.615147339343845,"C3",3,2,"R03_F02","C3_R03_F02"
"ANN_0","64-32",0.000125,0,0,0.756051430598397,0.611108767422641,0.615748222721124,"C3",3,3,"R03_F03","C3_R03_F03"
"ANN_L1","64-32",0.000125,1e-05,0,0.752598329014392,0.618207321344271,0.615106811763675,"C3",3,3,"R03_F03","C3_R03_F03"
"ANN_L2","64-32",0.000125,0,0.001,0.752510294596812,0.618168103269538,0.615126340740027,"C3",3,3,"R03_F03","C3_R03_F03"
"ANN_L1_L2","64-32",0.000125,1e-05,0.01,0.752188719063135,0.618361096008938,0.614850395920061,"C3",3,3,"R03_F03","C3_R03_F03"
"ANN_0","64-32",0.000125,0,0,0.775446481255001,0.576476370839674,0.635494552770077,"C3",3,4,"R03_F04","C3_R03_F04"
"ANN_L1","64-32",0.000125,0.001,0,0.787213709745377,0.56610630546688,0.637409416190635,"C3",3,4,"R03_F04","C3_R03_F04"
"ANN_L2","64-32",0.000125,0,1e-05,0.787574427726668,0.567644841352792,0.636890720130175,"C3",3,4,"R03_F04","C3_R03_F04"
"ANN_L1_L2","64-32",0.000125,0.001,0.001,0.784682598750879,0.568035262560228,0.63471530529423,"C3",3,4,"R03_F04","C3_R03_F04"
"ANN_0","64-32",0.00025,0,0,0.748057916693417,0.577353985586665,0.604020484354325,"C3",3,5,"R03_F05","C3_R03_F05"
"ANN_L1","64-32",0.00025,0.001,0,0.750924599096833,0.57022882489834,0.603250430967503,"C3",3,5,"R03_F05","C3_R03_F05"
"ANN_L2","64-32",0.00025,0,0.001,0.750964321415101,0.572464320283431,0.603770420285757,"C3",3,5,"R03_F05","C3_R03_F05"
"ANN_L1_L2","64-32",0.00025,1e-05,1e-04,0.750541168347073,0.572784902410438,0.603184507881938,"C3",3,5,"R03_F05","C3_R03_F05"
"ANN_0","64-32",0.000125,0,0,0.749800115782095,0.612337349392045,0.615890967397775,"C3",4,1,"R04_F01","C3_R04_F01"
"ANN_L1","64-32",0.000125,0.001,0,0.755905656668706,0.598335991165447,0.612082196882297,"C3",4,1,"R04_F01","C3_R04_F01"
"ANN_L2","64-32",0.000125,0,0.01,0.757595561957156,0.597618414276464,0.615412162120217,"C3",4,1,"R04_F01","C3_R04_F01"
"ANN_L1_L2","64-32",0.000125,0.001,0.001,0.755505709494226,0.598794703383142,0.611625978420965,"C3",4,1,"R04_F01","C3_R04_F01"
"ANN_0","64-32",0.000125,0,0,0.763528714322095,0.56604832699982,0.626365202539715,"C3",4,2,"R04_F02","C3_R04_F02"
"ANN_L1","64-32",0.000125,1e-05,0,0.762870270996256,0.568499776796595,0.622917091410177,"C3",4,2,"R04_F02","C3_R04_F02"
"ANN_L2","64-32",0.000125,0,0.001,0.762728328389565,0.568717025195134,0.622764227039777,"C3",4,2,"R04_F02","C3_R04_F02"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.762724878433446,0.568946342045063,0.623348687723657,"C3",4,2,"R04_F02","C3_R04_F02"
"ANN_0","64-32",0.000125,0,0,0.776900965219301,0.596582234421048,0.635319012023487,"C3",4,3,"R04_F03","C3_R04_F03"
"ANN_L1","64-32",0.000125,0.001,0,0.776489679645225,0.590258969012565,0.626467086366532,"C3",4,3,"R04_F03","C3_R04_F03"
"ANN_L2","64-32",0.000125,0,1e-04,0.780554240889665,0.590009638188223,0.632867520610278,"C3",4,3,"R04_F03","C3_R04_F03"
"ANN_L1_L2","64-32",0.000125,0.001,1e-04,0.776454725469248,0.590309239138298,0.626437528156925,"C3",4,3,"R04_F03","C3_R04_F03"
"ANN_0","32-16",0.001,0,0,0.75590800177038,0.560325055785354,0.62272057147886,"C3",4,4,"R04_F04","C3_R04_F04"
"ANN_L1","32-16",0.001,0.01,0,0.778755803929419,0.5208368779135,0.631278209508325,"C3",4,4,"R04_F04","C3_R04_F04"
"ANN_L2","32-16",0.001,0,0.001,0.778652414281588,0.538051586918495,0.633098852888799,"C3",4,4,"R04_F04","C3_R04_F04"
"ANN_L1_L2","32-16",0.001,0.01,1e-04,0.778055546709619,0.520995114380947,0.63062032206002,"C3",4,4,"R04_F04","C3_R04_F04"
"ANN_0","64-32",0.000125,0,0,0.74047490989475,0.620693779138443,0.602582272158,"C3",4,5,"R04_F05","C3_R04_F05"
"ANN_L1","64-32",0.000125,1e-04,0,0.750362568379044,0.609332246080188,0.613474660471319,"C3",4,5,"R04_F05","C3_R04_F05"
"ANN_L2","64-32",0.000125,0,0.01,0.750505284195704,0.609104863706651,0.613553535298098,"C3",4,5,"R04_F05","C3_R04_F05"
"ANN_L1_L2","64-32",0.000125,1e-04,0.01,0.750280121201506,0.609382560577068,0.613162453402976,"C3",4,5,"R04_F05","C3_R04_F05"
"ANN_0","64-32",0.000125,0,0,0.768335710821275,0.570228208583098,0.626706702047202,"C3",5,1,"R05_F01","C3_R05_F01"
"ANN_L1","64-32",0.000125,0.001,0,0.769768082922928,0.567211021787955,0.625303754721701,"C3",5,1,"R05_F01","C3_R05_F01"
"ANN_L2","64-32",0.000125,0,1e-04,0.768848751622387,0.570658141859689,0.624537368842708,"C3",5,1,"R05_F01","C3_R05_F01"
"ANN_L1_L2","64-32",0.000125,0.001,1e-04,0.769777830881094,0.567223728421773,0.625338534417197,"C3",5,1,"R05_F01","C3_R05_F01"
"ANN_0","64-32",0.000125,0,0,0.764357080742238,0.589033321006742,0.620823458829874,"C3",5,2,"R05_F02","C3_R05_F02"
"ANN_L1","64-32",0.000125,0.001,0,0.775361665386617,0.576613066025398,0.634106718267999,"C3",5,2,"R05_F02","C3_R05_F02"
"ANN_L2","64-32",0.000125,0,0.01,0.776040087971628,0.576750750719866,0.635188653791295,"C3",5,2,"R05_F02","C3_R05_F02"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.774740048799028,0.576778661405223,0.633372891019137,"C3",5,2,"R05_F02","C3_R05_F02"
"ANN_0","64-32",0.000125,0,0,0.749031812878716,0.603207317459858,0.612391701301973,"C3",5,3,"R05_F03","C3_R05_F03"
"ANN_L1","64-32",0.000125,0.001,0,0.754725134877183,0.59132727003906,0.614840268488764,"C3",5,3,"R05_F03","C3_R05_F03"
"ANN_L2","64-32",0.000125,0,1e-05,0.759322035030893,0.591698315766294,0.617535822567652,"C3",5,3,"R05_F03","C3_R05_F03"
"ANN_L1_L2","64-32",0.000125,0.001,1e-05,0.754816714796297,0.591193694257954,0.614982449151523,"C3",5,3,"R05_F03","C3_R05_F03"
"ANN_0","64-32",0.00025,0,0,0.752288412237444,0.606823359537908,0.60509726998164,"C3",5,4,"R05_F04","C3_R05_F04"
"ANN_L1","64-32",0.00025,0.001,0,0.751516212018577,0.612588337299905,0.603922876978773,"C3",5,4,"R05_F04","C3_R05_F04"
"ANN_L2","64-32",0.00025,0,0.001,0.753079029183248,0.610971920269507,0.604194618284204,"C3",5,4,"R05_F04","C3_R05_F04"
"ANN_L1_L2","64-32",0.00025,0.001,0.01,0.746838268657341,0.612798126544703,0.601608622621953,"C3",5,4,"R05_F04","C3_R05_F04"
"ANN_0","32-16",5e-04,0,0,0.763674423916526,0.602243638695308,0.615920057916312,"C3",5,5,"R05_F05","C3_R05_F05"
"ANN_L1","32-16",5e-04,1e-04,0,0.790207136811282,0.570980072255536,0.635489569465532,"C3",5,5,"R05_F05","C3_R05_F05"
"ANN_L2","32-16",5e-04,0,0.001,0.790077652263654,0.571285999820201,0.635346693783823,"C3",5,5,"R05_F05","C3_R05_F05"
"ANN_L1_L2","32-16",5e-04,1e-04,0.01,0.789388345461623,0.572048607929922,0.635453869438033,"C3",5,5,"R05_F05","C3_R05_F05"
"ANN_0","16-8",0.001,0,0,0.707290077812818,0.575997112144354,0.575696074527909,"C4",1,1,"R01_F01","C4_R01_F01"
"ANN_L1","16-8",0.001,0.001,0,0.736571739536838,0.554600696596281,0.593132241152133,"C4",1,1,"R01_F01","C4_R01_F01"
"ANN_L2","16-8",0.001,0,0.01,0.740286421671197,0.557070830963321,0.597225299732462,"C4",1,1,"R01_F01","C4_R01_F01"
"ANN_L1_L2","16-8",0.001,0.001,0.001,0.73328484579032,0.560421959981459,0.590313300078969,"C4",1,1,"R01_F01","C4_R01_F01"
"ANN_0","64-32",0.000125,0,0,0.679372508959119,0.58939895773817,0.554634978818409,"C4",1,2,"R01_F02","C4_R01_F02"
"ANN_L1","64-32",0.000125,1e-05,0,0.684066007500059,0.584743412114543,0.561767731996449,"C4",1,2,"R01_F02","C4_R01_F02"
"ANN_L2","64-32",0.000125,0,0.001,0.684117012516867,0.584589494144471,0.561786311211326,"C4",1,2,"R01_F02","C4_R01_F02"
"ANN_L1_L2","64-32",0.000125,1e-04,1e-04,0.683146884561188,0.586028694838883,0.560621785773855,"C4",1,2,"R01_F02","C4_R01_F02"
"ANN_0","32-16",0.000125,0,0,0.697441178736403,0.573317145317004,0.562258158999013,"C4",1,3,"R01_F03","C4_R01_F03"
"ANN_L1","32-16",0.000125,1e-04,0,0.693902027157034,0.581957900605957,0.560343500975544,"C4",1,3,"R01_F03","C4_R01_F03"
"ANN_L2","32-16",0.000125,0,1e-05,0.694015825366711,0.581729219502687,0.560382281872436,"C4",1,3,"R01_F03","C4_R01_F03"
"ANN_L1_L2","32-16",0.000125,0.001,0.01,0.693671373140452,0.581660190381574,0.560272106287388,"C4",1,3,"R01_F03","C4_R01_F03"
"ANN_0","32-16",0.000125,0,0,0.690476036816307,0.599646721461239,0.567438732256548,"C4",1,4,"R01_F04","C4_R01_F04"
"ANN_L1","32-16",0.000125,0.001,0,0.699324788074807,0.594020103624366,0.570083803738648,"C4",1,4,"R01_F04","C4_R01_F04"
"ANN_L2","32-16",0.000125,0,0.01,0.701089375102322,0.591927592658459,0.571738980179265,"C4",1,4,"R01_F04","C4_R01_F04"
"ANN_L1_L2","32-16",0.000125,0.001,1e-04,0.69898192598878,0.594243680724106,0.569671059237622,"C4",1,4,"R01_F04","C4_R01_F04"
"ANN_0","64-32",0.000125,0,0,0.706386475921566,0.586852082912574,0.57716101108255,"C4",1,5,"R01_F05","C4_R01_F05"
"ANN_L1","64-32",0.000125,1e-04,0,0.692891208475155,0.6037389228813,0.567468718033433,"C4",1,5,"R01_F05","C4_R01_F05"
"ANN_L2","64-32",0.000125,0,1e-05,0.693006700350721,0.603541436373838,0.567563543381355,"C4",1,5,"R01_F05","C4_R01_F05"
"ANN_L1_L2","64-32",0.000125,1e-04,1e-05,0.692899865077171,0.603738489938821,0.567476563149058,"C4",1,5,"R01_F05","C4_R01_F05"
"ANN_0","64-32",0.000125,0,0,0.704497116904253,0.594811207487142,0.569642621376542,"C4",2,1,"R02_F01","C4_R02_F01"
"ANN_L1","64-32",0.000125,0.001,0,0.701818788803314,0.598431092291458,0.567860584509495,"C4",2,1,"R02_F01","C4_R02_F01"
"ANN_L2","64-32",0.000125,0,1e-04,0.701533061771079,0.598608163341708,0.568615540550758,"C4",2,1,"R02_F01","C4_R02_F01"
"ANN_L1_L2","64-32",0.000125,1e-05,0.01,0.701513778716715,0.598697685873107,0.56864656215178,"C4",2,1,"R02_F01","C4_R02_F01"
"ANN_0","32-16",0.000125,0,0,0.696885875944827,0.579247043964428,0.569472325799128,"C4",2,2,"R02_F02","C4_R02_F02"
"ANN_L1","32-16",0.000125,1e-05,0,0.703977447003008,0.579839345725189,0.578288655446877,"C4",2,2,"R02_F02","C4_R02_F02"
"ANN_L2","32-16",0.000125,0,1e-04,0.70374827611604,0.579851703217711,0.578579920993306,"C4",2,2,"R02_F02","C4_R02_F02"
"ANN_L1_L2","32-16",0.000125,1e-04,1e-04,0.703959405544818,0.580994737637125,0.578312068153421,"C4",2,2,"R02_F02","C4_R02_F02"
"ANN_0","64-32",0.00025,0,0,0.687132250051748,0.592690951389977,0.565560141509937,"C4",2,3,"R02_F03","C4_R02_F03"
"ANN_L1","64-32",0.00025,0.001,0,0.685677527022358,0.590351098718454,0.562191225335089,"C4",2,3,"R02_F03","C4_R02_F03"
"ANN_L2","64-32",0.00025,0,1e-04,0.686843730889556,0.588888571714052,0.56304756610209,"C4",2,3,"R02_F03","C4_R02_F03"
"ANN_L1_L2","64-32",0.00025,0.001,0.01,0.68546282407129,0.589744839029689,0.562101104231859,"C4",2,3,"R02_F03","C4_R02_F03"
"ANN_0","16-8",5e-04,0,0,0.699394890503253,0.56762439137454,0.572258160644187,"C4",2,4,"R02_F04","C4_R02_F04"
"ANN_L1","16-8",5e-04,1e-05,0,0.701628453789035,0.575016854871485,0.572523908821366,"C4",2,4,"R02_F04","C4_R02_F04"
"ANN_L2","16-8",5e-04,0,0.001,0.701366476737804,0.57533577205092,0.572337078036498,"C4",2,4,"R02_F04","C4_R02_F04"
"ANN_L1_L2","16-8",5e-04,1e-05,0.001,0.701475140462137,0.57513634823132,0.572485536115734,"C4",2,4,"R02_F04","C4_R02_F04"
"ANN_0","16",0.00025,0,0,0.72129157872177,0.574541117753982,0.588321128890095,"C4",2,5,"R02_F05","C4_R02_F05"
"ANN_L1","16",0.00025,0.01,0,0.712368782789968,0.567673078782601,0.571056035820199,"C4",2,5,"R02_F05","C4_R02_F05"
"ANN_L2","16",0.00025,0,1e-04,0.729741864749063,0.561453607600742,0.586028566724082,"C4",2,5,"R02_F05","C4_R02_F05"
"ANN_L1_L2","16",0.00025,0.01,1e-05,0.71236832875007,0.56767375529892,0.571055866632175,"C4",2,5,"R02_F05","C4_R02_F05"
"ANN_0","32-16",0.00025,0,0,0.697808440345407,0.57834154953024,0.570224385515546,"C4",3,1,"R03_F01","C4_R03_F01"
"ANN_L1","32-16",0.00025,0.001,0,0.710507650492548,0.581547304566931,0.57698696369291,"C4",3,1,"R03_F01","C4_R03_F01"
"ANN_L2","32-16",0.00025,0,0.01,0.712664695692196,0.57716551139194,0.578965697289592,"C4",3,1,"R03_F01","C4_R03_F01"
"ANN_L1_L2","32-16",0.00025,0.001,0.01,0.709961126145082,0.582436328561158,0.576737528664974,"C4",3,1,"R03_F01","C4_R03_F01"
"ANN_0","64-32",0.00025,0,0,0.67869133937185,0.574567595868001,0.554229905677757,"C4",3,2,"R03_F02","C4_R03_F02"
"ANN_L1","64-32",0.00025,0.001,0,0.681201927362247,0.569094755270039,0.554823908566806,"C4",3,2,"R03_F02","C4_R03_F02"
"ANN_L2","64-32",0.00025,0,0.001,0.682598081858437,0.569677782454287,0.557801309596818,"C4",3,2,"R03_F02","C4_R03_F02"
"ANN_L1_L2","64-32",0.00025,0.001,0.01,0.681268997397551,0.568030314977445,0.55470624261473,"C4",3,2,"R03_F02","C4_R03_F02"
"ANN_0","32-16",0.000125,0,0,0.689323814683959,0.601899945441527,0.557190558438569,"C4",3,3,"R03_F03","C4_R03_F03"
"ANN_L1","32-16",0.000125,0.001,0,0.689880386478704,0.60255370776813,0.559038167336408,"C4",3,3,"R03_F03","C4_R03_F03"
"ANN_L2","32-16",0.000125,0,1e-04,0.691503944214207,0.600431679966028,0.560478431920164,"C4",3,3,"R03_F03","C4_R03_F03"
"ANN_L1_L2","32-16",0.000125,0.001,1e-05,0.689389255502845,0.603403704391754,0.558725786777811,"C4",3,3,"R03_F03","C4_R03_F03"
"ANN_0","16-8",0.000125,0,0,0.711993421529022,0.582392278467183,0.577588580386579,"C4",3,4,"R03_F04","C4_R03_F04"
"ANN_L1","16-8",0.000125,1e-05,0,0.718721890168245,0.582912215394642,0.585870877059129,"C4",3,4,"R03_F04","C4_R03_F04"
"ANN_L2","16-8",0.000125,0,1e-04,0.721261458015028,0.58195501254357,0.587949425243774,"C4",3,4,"R03_F04","C4_R03_F04"
"ANN_L1_L2","16-8",0.000125,1e-05,1e-05,0.718306601596166,0.58358786003567,0.585531137941328,"C4",3,4,"R03_F04","C4_R03_F04"
"ANN_0","64-32",0.000125,0,0,0.702817402867256,0.582533492937405,0.572803868849377,"C4",3,5,"R03_F05","C4_R03_F05"
"ANN_L1","64-32",0.000125,0.001,0,0.702758261576804,0.586364725459625,0.57432947312094,"C4",3,5,"R03_F05","C4_R03_F05"
"ANN_L2","64-32",0.000125,0,0.01,0.703043742179799,0.586328180627877,0.574297080888832,"C4",3,5,"R03_F05","C4_R03_F05"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.700329894367152,0.587602396161351,0.572484990205986,"C4",3,5,"R03_F05","C4_R03_F05"
"ANN_0","32-16",0.000125,0,0,0.701689015129395,0.588592908202123,0.579282670622194,"C4",4,1,"R04_F01","C4_R04_F01"
"ANN_L1","32-16",0.000125,0.001,0,0.703588979711589,0.586952683093974,0.576846516950433,"C4",4,1,"R04_F01","C4_R04_F01"
"ANN_L2","32-16",0.000125,0,1e-04,0.705455356964475,0.586766829324996,0.578531322228998,"C4",4,1,"R04_F01","C4_R04_F01"
"ANN_L1_L2","32-16",0.000125,0.001,0.001,0.703490661395173,0.58681581085609,0.576974503171579,"C4",4,1,"R04_F01","C4_R04_F01"
"ANN_0","16",0.000125,0,0,0.688592824417723,0.586638436131205,0.554936507100257,"C4",4,2,"R04_F02","C4_R04_F02"
"ANN_L1","16",0.000125,1e-05,0,0.680093957284142,0.60640315020744,0.55265739077009,"C4",4,2,"R04_F02","C4_R04_F02"
"ANN_L2","16",0.000125,0,0.01,0.680082419887082,0.606408131271118,0.55264471953044,"C4",4,2,"R04_F02","C4_R04_F02"
"ANN_L1_L2","16",0.000125,1e-05,0.01,0.680083142090841,0.606406508884988,0.552646770283868,"C4",4,2,"R04_F02","C4_R04_F02"
"ANN_0","64-32",0.000125,0,0,0.688768054884271,0.602179311450132,0.561483787395767,"C4",4,3,"R04_F03","C4_R04_F03"
"ANN_L1","64-32",0.000125,0.001,0,0.685009750134023,0.604194140607679,0.559192601991118,"C4",4,3,"R04_F03","C4_R04_F03"
"ANN_L2","64-32",0.000125,0,1e-05,0.685214064550636,0.604727115638017,0.559713642966274,"C4",4,3,"R04_F03","C4_R04_F03"
"ANN_L1_L2","64-32",0.000125,0.001,1e-04,0.685002413314064,0.60419931107569,0.559184138241907,"C4",4,3,"R04_F03","C4_R04_F03"
"ANN_0","64-32",0.000125,0,0,0.693426623860391,0.567722516977179,0.565107307564827,"C4",4,4,"R04_F04","C4_R04_F04"
"ANN_L1","64-32",0.000125,1e-04,0,0.698415376879583,0.561841776489689,0.570083134134073,"C4",4,4,"R04_F04","C4_R04_F04"
"ANN_L2","64-32",0.000125,0,0.01,0.698369834488588,0.561811954620787,0.570000542280529,"C4",4,4,"R04_F04","C4_R04_F04"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.697989444335021,0.560852147889766,0.568920005600951,"C4",4,4,"R04_F04","C4_R04_F04"
"ANN_0","32",0.000125,0,0,0.706358585453676,0.574312027983601,0.574102980064677,"C4",4,5,"R04_F05","C4_R04_F05"
"ANN_L1","32",0.000125,0.01,0,0.720122059994765,0.546009629923868,0.58582410477506,"C4",4,5,"R04_F05","C4_R04_F05"
"ANN_L2","32",0.000125,0,0.001,0.722188373184387,0.549912595898534,0.584638357448943,"C4",4,5,"R04_F05","C4_R04_F05"
