"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1","64-32",0.000125,0.01,0,1.91491908140511,0.55526414477021,1.5343527781145,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_L2","64-32",0.000125,0,0.01,2.03775802202078,0.476668350611705,1.62808452283583,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_L1_L2","64-32",0.000125,0.01,1e-05,1.91325738414694,0.557144270054225,1.53234115731221,"C1",2,5,"R02_F05","C1_R02_F05"
"ANN_0","32",0.000125,0,0,1.98697050030944,0.496212642199645,1.5731603049658,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_L1","32",0.000125,0.01,0,1.81246473491176,0.606475704372635,1.43622378777409,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_L2","32",0.000125,0,0.001,2.01058075808732,0.480534967720069,1.58412978169659,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_L1_L2","32",0.000125,0.01,1e-04,1.81539158944612,0.605308214265677,1.43809533371846,"C1",3,1,"R03_F01","C1_R03_F01"
"ANN_0","64-32",0.000125,0,0,2.09742894609797,0.470857849622093,1.67689026088817,"C1",3,2,"R03_F02","C1_R03_F02"
"ANN_L1","64-32",0.000125,0.01,0,1.9971626144015,0.545062060606681,1.61016277479329,"C1",3,2,"R03_F02","C1_R03_F02"
"ANN_L2","64-32",0.000125,0,0.01,2.08078546701202,0.485562559491786,1.66376595134838,"C1",3,2,"R03_F02","C1_R03_F02"
"ANN_L1_L2","64-32",0.000125,0.01,1e-04,1.99391116936323,0.550498479200802,1.60766879675052,"C1",3,2,"R03_F02","C1_R03_F02"
"ANN_0","32",0.000125,0,0,2.01156788506102,0.496069492289705,1.59748817197445,"C1",3,3,"R03_F03","C1_R03_F03"
"ANN_L1","32",0.000125,0.01,0,1.93690810428798,0.544610332734884,1.54830955111577,"C1",3,3,"R03_F03","C1_R03_F03"
"ANN_L2","32",0.000125,0,1e-05,2.03699431862632,0.473096180493755,1.61679526134265,"C1",3,3,"R03_F03","C1_R03_F03"
"ANN_L1_L2","32",0.000125,0.01,0.001,1.9351832573305,0.545678655766373,1.54694802106903,"C1",3,3,"R03_F03","C1_R03_F03"
"ANN_0","32",0.000125,0,0,2.0089726263597,0.462909476466445,1.6086426563798,"C1",3,4,"R03_F04","C1_R03_F04"
"ANN_L1","32",0.000125,0.01,0,1.93274737356211,0.53281060586176,1.55475590545336,"C1",3,4,"R03_F04","C1_R03_F04"
"ANN_L2","32",0.000125,0,1e-04,2.04598076266446,0.445453337414966,1.65672192088628,"C1",3,4,"R03_F04","C1_R03_F04"
"ANN_L1_L2","32",0.000125,0.01,0.001,1.91836733395759,0.543292019769256,1.54217911653483,"C1",3,4,"R03_F04","C1_R03_F04"
"ANN_0","32",0.000125,0,0,1.99295672913813,0.505600812322405,1.60380994071352,"C1",3,5,"R03_F05","C1_R03_F05"
"ANN_L1","32",0.000125,0.01,0,1.85989576891471,0.586258522172776,1.48832789565757,"C1",3,5,"R03_F05","C1_R03_F05"
"ANN_L2","32",0.000125,0,0.01,1.98887618717843,0.495315422231019,1.58737427168302,"C1",3,5,"R03_F05","C1_R03_F05"
