"Scenario","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Validation_RMSE","Validation_Correlation","N_epoch_fit","N_epoch_validation","Fit_seconds"
"C1",2,4,"R02_F04","C1_R02_F04","ANN_L1_L2","64-32",0.000125,0.01,1e-04,791,816,TRUE,FALSE,1.81472914055922,0.639049572501132,680,120,10.85
"C1",2,5,"R02_F05","C1_R02_F05","ANN_0","64-32",0.000125,0,0,49,74,TRUE,FALSE,1.98329254540033,0.53642446243672,680,120,0.79000000000002
"C1",2,5,"R02_F05","C1_R02_F05","ANN_L1","64-32",0.000125,0.01,0,562,587,TRUE,FALSE,1.90981271685706,0.574730543084023,680,120,7.31999999999999
"C1",2,5,"R02_F05","C1_R02_F05","ANN_L2","64-32",0.000125,0,0.01,51,76,TRUE,FALSE,1.98147602598176,0.538064993368659,680,120,0.829999999999984
"C1",2,5,"R02_F05","C1_R02_F05","ANN_L1_L2","64-32",0.000125,0.01,1e-05,521,546,TRUE,FALSE,1.9105053867369,0.575332678691779,680,120,6.18000000000001
"C1",3,1,"R03_F01","C1_R03_F01","ANN_0","32",0.000125,0,0,22,47,TRUE,FALSE,2.05218849163027,0.522162786167824,680,120,0.71
"C1",3,1,"R03_F01","C1_R03_F01","ANN_L1","32",0.000125,0.01,0,2019,2044,TRUE,FALSE,1.71051778842773,0.711022932434722,680,120,22.67
"C1",3,1,"R03_F01","C1_R03_F01","ANN_L2","32",0.000125,0,0.001,22,47,TRUE,FALSE,2.05447662937361,0.52065078222904,680,120,0.480000000000004
"C1",3,1,"R03_F01","C1_R03_F01","ANN_L1_L2","32",0.000125,0.01,1e-04,1908,1933,TRUE,FALSE,1.7355229822135,0.70037262584036,680,120,22.38
"C1",3,2,"R03_F02","C1_R03_F02","ANN_0","64-32",0.000125,0,0,18,43,TRUE,FALSE,2.0482756672263,0.522607140927554,680,120,0.490000000000009
"C1",3,2,"R03_F02","C1_R03_F02","ANN_L1","64-32",0.000125,0.01,0,412,437,TRUE,FALSE,2.02350578385473,0.554220336484127,680,120,5.16000000000003
"C1",3,2,"R03_F02","C1_R03_F02","ANN_L2","64-32",0.000125,0,0.01,18,43,TRUE,FALSE,2.04934928590405,0.522135374303769,680,120,0.410000000000025
"C1",3,2,"R03_F02","C1_R03_F02","ANN_L1_L2","64-32",0.000125,0.01,1e-04,413,438,TRUE,FALSE,2.02388925435815,0.554048829918354,680,120,4.85000000000002
"C1",3,3,"R03_F03","C1_R03_F03","ANN_0","32",0.000125,0,0,27,52,TRUE,FALSE,2.02083812313972,0.483142482873156,680,120,0.379999999999995
"C1",3,3,"R03_F03","C1_R03_F03","ANN_L1","32",0.000125,0.01,0,816,841,TRUE,FALSE,1.83096773324834,0.604480609543859,680,120,7.65000000000003
"C1",3,3,"R03_F03","C1_R03_F03","ANN_L2","32",0.000125,0,1e-05,27,52,TRUE,FALSE,2.02083875706742,0.483142080188691,680,120,0.399999999999977
"C1",3,3,"R03_F03","C1_R03_F03","ANN_L1_L2","32",0.000125,0.01,0.001,894,919,TRUE,FALSE,1.81670279083723,0.612732668302422,680,120,8.18000000000001
"C1",3,4,"R03_F04","C1_R03_F04","ANN_0","32",0.000125,0,0,20,45,TRUE,FALSE,1.91197935171616,0.504643668213739,680,120,0.420000000000016
"C1",3,4,"R03_F04","C1_R03_F04","ANN_L1","32",0.000125,0.01,0,734,759,TRUE,FALSE,1.74720165234169,0.608667545612195,680,120,9.21999999999997
"C1",3,4,"R03_F04","C1_R03_F04","ANN_L2","32",0.000125,0,1e-04,20,45,TRUE,FALSE,1.91204096715553,0.504612243094143,680,120,0.549999999999955
"C1",3,4,"R03_F04","C1_R03_F04","ANN_L1_L2","32",0.000125,0.01,0.001,591,616,TRUE,FALSE,1.76040086654787,0.600542671553693,680,120,6.18000000000001
"C1",3,5,"R03_F05","C1_R03_F05","ANN_0","32",0.000125,0,0,33,58,TRUE,FALSE,1.96925475033889,0.55970744566255,680,120,0.629999999999995
"C1",3,5,"R03_F05","C1_R03_F05","ANN_L1","32",0.000125,0.01,0,103,128,TRUE,FALSE,1.94084146285791,0.608040765639509,680,120,1.55000000000001
"C1",3,5,"R03_F05","C1_R03_F05","ANN_L2","32",0.000125,0,0.01,33,58,TRUE,FALSE,1.96752730047954,0.56049543020295,680,120,0.980000000000018
"C1",3,5,"R03_F05","C1_R03_F05","ANN_L1_L2","32",0.000125,0.01,0.01,103,128,TRUE,FALSE,1.94016008168053,0.609069532086225,680,120,1.38
"C1",4,1,"R04_F01","C1_R04_F01","ANN_0","32",0.000125,0,0,21,46,TRUE,FALSE,2.29752569325854,0.49858680622039,680,120,0.420000000000016
"C1",4,1,"R04_F01","C1_R04_F01","ANN_L1","32",0.000125,0.01,0,1247,1272,TRUE,FALSE,2.04659795120216,0.626411399892652,680,120,12.22
"C1",4,1,"R04_F01","C1_R04_F01","ANN_L2","32",0.000125,0,0.001,21,46,TRUE,FALSE,2.2973897707197,0.498720475711296,680,120,0.480000000000018
"C1",4,1,"R04_F01","C1_R04_F01","ANN_L1_L2","32",0.000125,0.01,1e-04,1358,1383,TRUE,FALSE,2.04349871547463,0.627929622396755,680,120,13.93
"C1",4,2,"R04_F02","C1_R04_F02","ANN_0","32",0.000125,0,0,32,57,TRUE,FALSE,1.90342742063158,0.566960728927892,680,120,0.479999999999961
"C1",4,2,"R04_F02","C1_R04_F02","ANN_L1","32",0.000125,0.01,0,597,622,TRUE,FALSE,1.75171924066047,0.646027814962244,680,120,6.44999999999999
"C1",4,2,"R04_F02","C1_R04_F02","ANN_L2","32",0.000125,0,0.01,31,56,TRUE,FALSE,1.9048889086498,0.565482555968075,680,120,0.480000000000018
"C1",4,2,"R04_F02","C1_R04_F02","ANN_L1_L2","32",0.000125,0.01,0.01,640,665,TRUE,FALSE,1.75104720005523,0.6472630198076,680,120,5.94
"C1",4,3,"R04_F03","C1_R04_F03","ANN_0","32",0.000125,0,0,13,38,TRUE,FALSE,2.05364588411661,0.499994599629732,680,120,0.379999999999995
"C1",4,3,"R04_F03","C1_R04_F03","ANN_L1","32",0.000125,0.01,0,716,741,TRUE,FALSE,1.90530799671482,0.59998830820857,680,120,6.85999999999996
"C1",4,3,"R04_F03","C1_R04_F03","ANN_L2","32",0.000125,0,0.01,13,38,TRUE,FALSE,2.05341638078726,0.500040488456022,680,120,0.339999999999975
"C1",4,3,"R04_F03","C1_R04_F03","ANN_L1_L2","32",0.000125,0.01,0.01,1106,1131,TRUE,FALSE,1.89279432273239,0.608892885693404,680,120,9.83999999999997
"C1",4,4,"R04_F04","C1_R04_F04","ANN_0","64-32",0.000125,0,0,41,66,TRUE,FALSE,2.08183842620045,0.394271298368787,680,120,0.769999999999982
"C1",4,4,"R04_F04","C1_R04_F04","ANN_L1","64-32",0.000125,0.01,0,457,482,TRUE,FALSE,1.96991892141531,0.485638746756388,680,120,7.38
"C1",4,4,"R04_F04","C1_R04_F04","ANN_L2","64-32",0.000125,0,0.01,42,67,TRUE,FALSE,2.08246448275606,0.394843765345243,680,120,1.02999999999997
"C1",4,4,"R04_F04","C1_R04_F04","ANN_L1_L2","64-32",0.000125,0.01,0.01,483,508,TRUE,FALSE,1.9797740849756,0.47682751674954,680,120,8.28000000000003
"C1",4,5,"R04_F05","C1_R04_F05","ANN_0","32",0.000125,0,0,32,57,TRUE,FALSE,1.95804201064461,0.529721094338511,680,120,0.620000000000005
"C1",4,5,"R04_F05","C1_R04_F05","ANN_L1","32",0.000125,0.01,0,85,110,TRUE,FALSE,1.8744589442675,0.591318356008403,680,120,1.36000000000001
"C1",4,5,"R04_F05","C1_R04_F05","ANN_L2","32",0.000125,0,1e-05,32,57,TRUE,FALSE,1.95788664468311,0.529816473195234,680,120,0.899999999999977
"C1",4,5,"R04_F05","C1_R04_F05","ANN_L1_L2","32",0.000125,0.01,0.001,90,115,TRUE,FALSE,1.87578772253136,0.590124678183939,680,120,1.81
"C1",5,1,"R05_F01","C1_R05_F01","ANN_0","64-32",0.000125,0,0,51,76,TRUE,FALSE,1.9376791953442,0.545891799451931,680,120,1.30000000000001
"C1",5,1,"R05_F01","C1_R05_F01","ANN_L1","64-32",0.000125,0.01,0,400,425,TRUE,FALSE,1.8489628235896,0.625186092477153,680,120,8.42000000000002
"C1",5,1,"R05_F01","C1_R05_F01","ANN_L2","64-32",0.000125,0,0.01,66,91,TRUE,FALSE,1.92122874748736,0.555077762902706,680,120,1.71999999999991
"C1",5,1,"R05_F01","C1_R05_F01","ANN_L1_L2","64-32",0.000125,0.01,0.001,403,428,TRUE,FALSE,1.84941106193827,0.624682789148168,680,120,8.03999999999996
"C1",5,2,"R05_F02","C1_R05_F02","ANN_0","64-32",0.000125,0,0,37,62,TRUE,FALSE,1.9972667631609,0.54026243237124,680,120,0.980000000000018
"C1",5,2,"R05_F02","C1_R05_F02","ANN_L1","64-32",0.000125,0.01,0,918,943,TRUE,FALSE,1.75841263797986,0.672319483590436,680,120,17.08
"C1",5,2,"R05_F02","C1_R05_F02","ANN_L2","64-32",0.000125,0,0.001,38,63,TRUE,FALSE,1.99763787228004,0.540491768408875,680,120,1.28999999999996
"C1",5,2,"R05_F02","C1_R05_F02","ANN_L1_L2","64-32",0.000125,0.01,1e-05,954,979,TRUE,FALSE,1.7573841845846,0.672740335621622,680,120,14.9699999999999
