"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Epoch_Last","Epoch_Stopped_by_patience","Epoch_Hit_ceiling","Inner_RMSE","Inner_Correlation","Inner_MAE","N_train","N_test","N_pred_finite","N_zero_variance_markers","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Epoch_selection_seconds","Final_fit_seconds","Predict_seconds","Status","Error"
"simulated","C1",8,0.7,1,3,"R01_F03","C1_R01_F03","ANN_L2","64-32",0.000125,0,0.01,45,70,TRUE,FALSE,2.03404147544266,0.453221498268707,1.62903267923739,800,200,200,0,0.591600360171862,1.63389323958689,1.33174389932913,-0.262589651756754,0.993369524534926,0.332740743262662,0.512222202765096,2.07480449292595,1.64829723330214,-0.364571651756755,1.02252781468159,0.238740091968728,1.13,0.420000000000002,0,"ok",NA
"simulated","C1",8,0.7,1,3,"R01_F03","C1_R01_F03","ANN_L1_L2","64-32",0.000125,0.01,0.001,878,903,TRUE,FALSE,1.95364287197859,0.514535862886607,1.56611386722562,800,200,200,0,0.564149280842733,1.66707181064167,1.37181650100063,-0.223585205009488,0.965628980936651,0.305366264431531,0.51436727256774,2.06584151737678,1.66935212790542,-0.325567205009488,1.04670406151394,0.245303039223454,12.86,9.42,0,"ok",NA
"simulated","C1",8,0.7,1,4,"R01_F04","C1_R01_F04","ANN_0","64-32",0.00025,0,0,18,43,TRUE,FALSE,2.01447329937819,0.496964436500483,1.62485435095827,800,200,200,0,0.567244963345166,1.6307242090401,1.29297524954767,-0.286270201274172,0.79089892790468,0.276994791892497,0.429033514753997,2.11010373298725,1.68520246446695,-0.403246201274171,0.700959220512878,0.118371522957944,0.560000000000002,0.210000000000008,0,"ok",NA
"simulated","C1",8,0.7,1,4,"R01_F04","C1_R01_F04","ANN_L1","64-32",0.00025,0.01,0,177,202,TRUE,FALSE,1.88952625837039,0.579079047505641,1.51940965286653,800,200,200,0,0.654812942692511,1.4642124923345,1.15359684635669,-0.0720333481978498,1.18301543261228,0.417107316343118,0.507949168630213,1.94664380093133,1.5396611216747,-0.18900934819785,1.07533703742614,0.249672299000113,2.92,1.88,0,"ok",NA
"simulated","C1",8,0.7,1,4,"R01_F04","C1_R01_F04","ANN_L2","64-32",0.00025,0,0.01,18,43,TRUE,FALSE,2.00008750543866,0.503980393304543,1.61079429282286,800,200,200,0,0.568629853376134,1.62565020156756,1.2906767290602,-0.279545164522148,0.798436158114273,0.281487061617299,0.432675520211607,2.1016539407994,1.67829558218556,-0.396521164522148,0.711908304945196,0.125418249233957,0.640000000000001,0.200000000000003,0,"ok",NA
"simulated","C1",8,0.7,1,4,"R01_F04","C1_R01_F04","ANN_L1_L2","64-32",0.00025,0.01,0.001,178,203,TRUE,FALSE,1.88963188146866,0.579252017965285,1.51922010552388,800,200,200,0,0.654302945600436,1.46527738416046,1.15418734052688,-0.0753269150723653,1.18369664076343,0.416259156154451,0.50816895386411,1.94675696674218,1.54044620343405,-0.192302915072365,1.07726081688605,0.249585057656047,2.87,1.84,0,"ok",NA
"simulated","C1",8,0.7,1,5,"R01_F05","C1_R01_F05","ANN_0","16",0.000125,0,0,29,54,TRUE,FALSE,2.0069957271433,0.49728768176882,1.61339314148924,800,200,200,0,0.561634653709415,1.55151834907426,1.20451407015704,0.0449155390322053,0.891207758997828,0.310154828885522,0.498935315499285,1.95974804326848,1.53935785440861,0.116816039032205,0.956373365193092,0.245738492132394,0.489999999999995,0.219999999999999,0,"ok",NA
"simulated","C1",8,0.7,1,5,"R01_F05","C1_R01_F05","ANN_L1","16",0.000125,0.01,0,63,88,TRUE,FALSE,1.9495711176892,0.534097962712583,1.54855560394428,800,200,200,0,0.635969217191693,1.4553470300382,1.1629385647258,0.0839177892376492,1.18002845081251,0.393024831703944,0.569295946871363,1.8823142637532,1.50750389417092,0.155818289237649,1.2760057763023,0.3041658606959,0.77000000000001,0.419999999999987,0,"ok",NA
"simulated","C1",8,0.7,1,5,"R01_F05","C1_R01_F05","ANN_L2","16",0.000125,0,0.001,30,55,TRUE,FALSE,2.02944276399822,0.489206437280371,1.62335953070395,800,200,200,0,0.563079170454852,1.55099832251614,1.2057427606097,0.0462210326644275,0.880601944992066,0.310617185892938,0.500457052748304,1.9582605394902,1.53858677012455,0.118121532664428,0.945442579090601,0.246883068900262,0.489999999999995,0.220000000000013,0,"ok",NA
"simulated","C1",8,0.7,1,5,"R01_F05","C1_R01_F05","ANN_L1_L2","16",0.000125,0.01,1e-05,64,89,TRUE,FALSE,1.94915438421335,0.534446598719029,1.5492227523402,800,200,200,0,0.63613664237471,1.45495023354985,1.16235385562969,0.0835467858194919,1.17884101964585,0.39335576690685,0.569303605213557,1.88208588762035,1.50730191619547,0.155447285819492,1.27440341436051,0.304334697826576,0.870000000000005,0.469999999999999,0,"ok",NA
"simulated","C1",8,0.7,2,1,"R02_F01","C1_R02_F01","ANN_0","32",0.000125,0,0,32,57,TRUE,FALSE,2.02372017806539,0.464016674209056,1.63533979537261,800,200,200,0,0.616008232556834,1.58832272309646,1.26340913477964,-0.0254755439461326,0.827721073745597,0.362863463859705,0.540951110960965,1.99934948017018,1.59113226925473,0.0748644560538673,0.863279946914903,0.28428493140194,0.620000000000005,0.299999999999997,0,"ok",NA
